Traitement;Mesure
CorticoSuper;26
CorticoSuper;27
CorticoSuper;35
CorticoSuper;36
CorticoSuper;38
CorticoSuper;38
CorticoSuper;41
CorticoSuper;42
CorticoSuper;45
CorticoSuper;50
CorticoSuper;65
BellesBronches;29
BellesBronches;42
BellesBronches;44
BellesBronches;44
BellesBronches;58
BellesBronches;60
BellesBronches;61
BellesBronches;63
BellesBronches;63
BellesBronches;69
BotaRespire;26
BotaRespire;26
BotaRespire;30
BotaRespire;30
BotaRespire;33
BotaRespire;36
BotaRespire;38
BotaRespire;38
BotaRespire;10
BotaRespire;46
BellesBronches;45
BellesBronches;48
BellesBronches;48
BellesBronches;52
BellesBronches;56
BellesBronches;56
BellesBronches;58
BotaRespire;47
BotaRespire;51
BotaRespire;51
BotaRespire;56
BotaRespire;55
